county,state,demand_index_100,demand_tier,idx_market_size,idx_infra_age,idx_climate_stress,idx_economic_capacity,idx_operational_complexity,idx_growth_potential,est_total_meters,est_residential_meters,est_commercial_meters,est_industrial_meters,est_transport_meters,total_pop,total_housing_units,median_income,median_year_built,n_utilities,n_iou,n_coop,n_muni
Caldwell County,North Carolina,51.64754132120326,4,0.5661102147132375,0.4246575342465754,0.3748950452839185,0.23331004338966221,0.6740120967947418,0.6180284792081855,49637.45480516007,43757.73277592063,5826.17079411347,53.28114051664093,0.27009460932954715,80536,37387,56425,1980,4,1,3,0
Camden County,North Carolina,37.617546582769975,2,0.38416587612693165,0.1643835616438356,0.4398690407626741,0.3831718091698134,0.7750817881130296,0.45915779587640104,1306.2994962016305,1184.6789248608584,119.41340890394437,2.2071624368276472,0,10927,4301,91078,1999,2,1,1,0
Carteret County,North Carolina,53.517169115211935,4,0.5662698497354706,0.3013698630136986,0.30869994684046975,0.3203286101523762,0.7401569709424665,0.6059024802603882,35580.84797695699,30994.310287106695,4527.447659372758,59.09003047753261,0,69148,52181,72322,1989,2,1,1,0
Caswell County,North Carolina,42.11589689407174,3,0.4899936832923295,0.410958904109589,0.37875066917232353,0.23752093784635017,0.6920116096100196,0.5162634322024053,11526.553848017367,9927.502982391725,1573.692378309561,25.28248053873321,0.07600677734924348,22404,10521,59755,1981,3,2,1,0
Catawba County,North Carolina,56.009128530216415,4,0.5943517018842456,0.3561643835616438,0.3931006913764933,0.28316355150320666,0.6258551323760388,0.6743858851347091,65991.63239999006,57766.66447282637,8016.455621793671,207.9839712147266,0.5283341552972363,163573,73133,67864,1985,5,1,2,2
Chatham County,North Carolina,53.36478859643917,4,0.5668411896893129,0.17808219178082196,0.39125669595905443,0.4205727374534853,0.623472528866287,0.617647337349447,48208.13057258387,41946.33614270936,6172.014369523252,89.52060712420408,0.2594532270431261,80151,35914,94317,1998,5,2,3,0
Cherokee County,North Carolina,41.99484524185165,3,0.5527925636660944,0.23287671232876717,0.29768904193690454,0.2338942450600089,0.6080412269547807,0.5383148358284112,31057.816146961195,24717.312211301392,6313.130293345099,27.240686442604442,0.13295587209727944,29562,18404,53628,1994,4,1,2,1
Chowan County,North Carolina,36.920268732257014,2,0.4361397127275746,0.4246575342465754,0.4277857536953781,0.23553011850984468,0.6738594976370054,0.47793046861779265,3577.3440219570084,3162.3680763143793,406.599564416057,8.376381226572102,0,13836,7190,53864,1980,4,1,2,1
Clay County,North Carolina,38.22737831567971,2,0.4469870839748572,0.28767123287671237,0.37345019459371614,0.2562152532437208,0.7693461067625977,0.4639798300279239,4102.809081946591,3536.7829244705076,556.5047384131988,9.467258544892715,0.05416051799137709,11610,7497,56971,1990,1,1,0,0
Cleveland County,North Carolina,51.268234230272625,4,0.5735196101012813,0.4383561643835616,0.33894161327544864,0.24218132128514472,0.6083328054024273,0.6360301576686374,43785.164236524855,37289.655478597095,6427.464339387232,67.72435350264067,0.32006503789382024,100991,44304,58534,1979,5,1,2,2
